refe,h3_cell,loading_status,n_points,centroid_lat,centroid_lng,avg_heading,avg_speed,avg_vertical_speed,avg_height,avg_longitudinal_a,avg_lateral_a,avg_ratius_ot,avg_vehicle_w,avg_tkph_f,avg_tkph_r,avg_slope_percent,transparency
341139VBOX,8c66034b04da1ff,Loaded,6,7.906380567202968,-75.53662541264535,183.52,21.3,0.0,122.32,-0.01,0.01,,974.3,1151.0,1111.0,0.0,0.0535
341139VBOX,8c66034b04da3ff,Loaded,5,7.906240748528209,-75.53652317252025,180.46,20.86,-0.32,121.84,0.0,-0.0,,974.3,1170.8,1131.8,-0.002,0.0436
341139VBOX,8c66034b04da9ff,Loaded,6,7.906529394323914,-75.53655344508257,185.23,21.92,0.23,122.18,0.0,-0.03,,974.3,1151.0,1111.0,0.0,0.055
341139VBOX,8c66034b04de1ff,Loaded,5,7.906818039223376,-75.53658371759352,137.55,19.87,0.13,122.14,0.02,-0.15,,974.3,1131.2,1090.2,0.012,0.0416
341139VBOX,8c66034b04de3ff,Loaded,2,7.90667822112672,-75.53648147761578,170.5,21.48,0.11,123.24,0.02,-0.16,,974.3,1052.0,1007.0,0.01,0.018
341139VBOX,8c66034b04de5ff,Loaded,8,7.906809030754084,-75.53675792511083,92.63,17.9,0.66,121.66,0.02,-0.09,,974.3,1151.0,1111.0,0.025,0.06
341139VBOX,8c66034b04de7ff,Loaded,2,7.906669212624305,-75.53665568511536,166.85,21.72,0.02,120.92,0.0,-0.1,,974.3,1250.0,1215.0,-0.01,0.0182
341139VBOX,8c66034b20081ff,Empty,5,7.90193847131236,-75.54675671376029,199.09,23.82,-0.6,140.1,-0.01,-0.02,,68.3,132.0,127.2,0.014,0.0498
341139VBOX,8c66034b20081ff,Loaded,6,7.90193847131236,-75.54675671376029,193.73,13.51,0.88,144.82,0.0,0.0,,974.3,588.67,507.5,0.0783,0.0341
341139VBOX,8c66034b20085ff,Empty,1,7.901929455673445,-75.54693093356602,195.9,15.09,1.16,143.96,0.0,0.0,,68.3,0.0,0.0,0.09,0.0063
341139VBOX,8c66034b20085ff,Loaded,8,7.901929455673445,-75.54693093356602,194.26,13.98,1.06,144.91,0.0,0.0,,974.3,871.62,808.38,0.0775,0.047
341139VBOX,8c66034b20087ff,Empty,6,7.901789629909269,-75.54682869110586,208.15,21.34,-0.44,144.48,0.01,-0.01,,68.3,0.0,0.0,0.0267,0.0535
341139VBOX,8c66034b20087ff,Loaded,17,7.901789629909269,-75.54682869110586,196.36,13.62,1.26,146.16,-0.0,-0.01,,974.3,770.18,700.06,0.0829,0.0974
341139VBOX,8c66034b20089ff,Empty,4,7.902087312397403,-75.5466847365107,14.82,34.76,-2.59,140.06,-0.01,-0.0,,68.3,1051.0,1031.0,-0.0825,0.058
341139VBOX,8c66034b2008dff,Empty,3,7.902078296872815,-75.54685895616548,192.33,14.85,0.91,142.32,0.01,0.01,,68.3,0.0,0.0,0.0867,0.0187
341139VBOX,8c66034b2008dff,Loaded,18,7.902078296872815,-75.54685895616548,194.07,13.38,0.74,143.84,0.0,0.0,,974.3,799.5,730.67,0.0772,0.1012
341139VBOX,8c66034b200a3ff,Empty,4,7.901631772320534,-75.54707488865499,239.13,12.95,1.38,148.08,-0.01,-0.06,,68.3,0.0,0.0,0.09,0.0218
341139VBOX,8c66034b200a3ff,Loaded,11,7.901631772320534,-75.54707488865499,235.03,11.99,1.25,148.9,-0.0,-0.04,,974.3,875.64,815.36,0.0836,0.0556
341139VBOX,8c66034b200a7ff,Empty,1,7.9016227563717,-75.5472491089312,274.4,13.44,0.95,149.81,0.01,-0.02,,68.3,0.0,0.0,0.09,0.0057
341139VBOX,8c66034b200b1ff,Empty,1,7.901500962049547,-75.54679842599484,31.4,32.04,-3.31,140.21,-0.02,0.28,,68.3,330.0,318.0,-0.1,0.0134
341139VBOX,8c66034b200b5ff,Empty,9,7.901491946148893,-75.54697264608482,50.41,31.51,-2.99,145.83,0.0,0.21,,68.3,780.67,767.33,-0.0978,0.1183
341139VBOX,8c66034b200b5ff,Loaded,4,7.901491946148893,-75.54697264608482,234.38,11.68,1.18,149.53,-0.0,-0.03,,974.3,549.0,450.0,0.08,0.0197
341139VBOX,8c66034b200bdff,Empty,11,7.901640788188106,-75.54690066854737,2.88,25.79,-1.84,144.93,0.02,0.11,,68.3,412.18,403.82,-0.0291,0.1185
341139VBOX,8c66034b200bdff,Loaded,19,7.901640788188106,-75.54690066854737,212.14,12.67,1.13,147.71,-0.01,-0.03,,974.3,745.58,673.42,0.0821,0.1013
341139VBOX,8c66034b200c1ff,Empty,8,7.902375978317364,-75.5467150016522,119.76,23.79,-0.63,138.92,-0.02,0.01,,68.3,640.0,629.75,0.005,0.0795
341139VBOX,8c66034b200c1ff,Loaded,20,7.902375978317364,-75.5467150016522,196.07,14.05,1.1,141.14,-0.02,0.0,,974.3,778.0,708.25,0.0725,0.1181
341139VBOX,8c66034b200c7ff,Empty,8,7.902227137754122,-75.54678697886087,190.46,21.92,-0.34,140.1,0.0,0.0,,68.3,475.75,468.88,0.0238,0.0733
341139VBOX,8c66034b200c7ff,Loaded,21,7.902227137754122,-75.54678697886087,195.51,12.99,1.03,142.68,-0.0,0.0,,974.3,767.1,695.95,0.0733,0.1147
341139VBOX,8c66034b200c9ff,Empty,8,7.90252481856255,-75.54664302453949,287.15,25.5,-0.42,137.53,0.0,-0.01,,68.3,640.0,629.75,0.005,0.0852
341139VBOX,8c66034b200c9ff,Loaded,15,7.90252481856255,-75.54664302453949,198.15,16.9,1.31,139.67,-0.02,0.01,,974.3,743.33,672.07,0.0727,0.1063
341139VBOX,8c66034b20113ff,Empty,2,7.90244367827149,-75.54821100494325,150.7,29.89,-0.49,164.81,-0.02,0.0,,68.3,1314.0,1287.0,-0.06,0.0249
341139VBOX,8c66034b20119ff,Empty,3,7.9027323441000075,-75.54824126887453,332.43,21.01,0.28,162.06,0.03,-0.01,,68.3,0.0,0.0,0.04,0.0264
341139VBOX,8c66034b20119ff,Loaded,14,7.9027323441000075,-75.54824126887453,332.09,19.94,0.26,162.55,0.02,-0.0,,974.3,757.21,687.93,0.0293,0.1168
341139VBOX,8c66034b2011bff,Empty,4,7.902592519227552,-75.548139026568,328.05,17.1,0.11,161.92,0.03,-0.01,,68.3,0.0,0.0,0.04,0.0287
341139VBOX,8c66034b2011bff,Loaded,17,7.902592519227552,-75.548139026568,330.48,16.2,0.18,162.33,0.03,-0.0,,974.3,764.53,693.06,0.03,0.1155
341139VBOX,8c66034b20149ff,Loaded,5,7.903440481502311,-75.54857825917281,343.32,27.05,0.46,163.48,-0.0,0.03,,974.3,737.2,657.8,0.032,0.0565
341139VBOX,8c66034b2014bff,Empty,2,7.9033006575163265,-75.54847601707073,345.55,25.34,0.02,162.9,0.02,0.0,,68.3,0.0,0.0,0.03,0.0212
341139VBOX,8c66034b2014bff,Loaded,12,7.9033006575163265,-75.54847601707073,346.01,26.82,0.18,163.45,0.01,-0.01,,974.3,778.0,708.25,0.03,0.1344
341139VBOX,8c66034b20151ff,Empty,2,7.903021009032304,-75.54827153275443,338.25,24.42,0.36,162.79,0.02,-0.01,,68.3,0.0,0.0,0.03,0.0204
341139VBOX,8c66034b20151ff,Loaded,2,7.903021009032304,-75.54827153275443,335.3,22.34,0.6,162.99,0.02,0.0,,974.3,620.0,563.0,0.03,0.0187
341139VBOX,8c66034b20155ff,Loaded,7,7.90301199333287,-75.54844575337555,337.41,24.18,0.41,163.27,0.03,-0.02,,974.3,800.57,729.0,0.0243,0.0707
341139VBOX,8c66034b20157ff,Empty,4,7.902872168801779,-75.54834351114371,338.25,25.23,0.22,163.23,0.01,0.0,,68.3,328.5,321.75,0.04,0.0422
341139VBOX,8c66034b20157ff,Loaded,11,7.902872168801779,-75.54834351114371,333.99,22.33,0.57,162.93,0.02,-0.01,,974.3,792.36,721.45,0.0282,0.1027
341139VBOX,8c66034b2015dff,Empty,3,7.90316083335966,-75.54837377493126,342.67,24.26,0.16,162.86,0.0,-0.02,,68.3,0.0,0.0,0.03,0.0304
341139VBOX,8c66034b2015dff,Loaded,8,7.90316083335966,-75.54837377493126,342.0,25.67,0.27,163.33,0.02,-0.04,,974.3,778.0,708.25,0.0275,0.0858
341139VBOX,8c66034b20161ff,Loaded,7,7.9031247702065555,-75.54907065849754,153.91,30.67,-1.12,167.46,0.05,-0.01,,974.3,701.71,649.57,-0.0225,0.0895
341139VBOX,8c66034b2016dff,Empty,1,7.903264594495439,-75.54917290070749,150.4,28.6,-1.07,168.97,0.08,0.01,,68.3,0.0,0.0,-0.04,0.0119
341139VBOX,8c66034b2016dff,Loaded,15,7.903264594495439,-75.54917290070749,153.26,26.59,-0.9,168.42,0.07,-0.0,,974.3,685.53,627.67,-0.0047,0.1665
341139VBOX,8c66034b20189ff,Empty,4,7.902024202018881,-75.54790427763444,334.18,12.92,1.01,157.79,0.0,0.0,,68.3,0.0,0.0,0.08,0.0218
341139VBOX,8c66034b20189ff,Loaded,22,7.902024202018881,-75.54790427763444,333.21,12.16,0.94,158.63,0.0,0.0,,974.3,761.55,690.18,0.0745,0.1126
341139VBOX,8c66034b2018bff,Empty,5,7.901884376260004,-75.54780203512344,331.58,12.15,0.87,156.36,0.0,0.0,,68.3,0.0,0.0,0.08,0.0256
341139VBOX,8c66034b2018bff,Loaded,24,7.901884376260004,-75.54780203512344,334.1,11.63,0.92,157.37,-0.0,-0.0,,974.3,778.0,708.25,0.0775,0.1176
341139VBOX,8c66034b20191ff,Empty,7,7.901604724230273,-75.54759754998938,303.4,18.1,0.05,153.4,0.0,0.02,,68.3,0.0,0.0,0.0371,0.0531
341139VBOX,8c66034b20191ff,Loaded,24,7.901604724230273,-75.54759754998938,301.94,12.18,0.9,154.52,0.0,-0.02,,974.3,775.04,703.54,0.0775,0.1231
341139VBOX,8c66034b20193ff,Empty,2,7.901464897959423,-75.54749530736629,115.1,31.61,-2.14,151.89,0.02,0.08,,68.3,0.0,0.0,-0.07,0.0264
341139VBOX,8c66034b2019bff,Empty,5,7.9016137403416105,-75.54742332937599,286.88,12.94,1.26,151.85,-0.0,-0.01,,68.3,0.0,0.0,0.08,0.0272
341139VBOX,8c66034b2019bff,Loaded,14,7.9016137403416105,-75.54742332937599,290.04,12.59,1.23,153.12,-0.0,-0.02,,974.3,803.86,736.64,0.0821,0.0742
341139VBOX,8c66034b2019dff,Empty,5,7.901744550330475,-75.54769979257509,328.02,13.03,0.98,154.96,-0.0,-0.02,,68.3,0.0,0.0,0.08,0.0274
341139VBOX,8c66034b2019dff,Loaded,22,7.901744550330475,-75.54769979257509,325.96,12.39,0.96,155.91,-0.0,-0.02,,974.3,764.77,695.32,0.0777,0.1148
341139VBOX,8c66034b201a1ff,Empty,10,7.901708485204856,-75.54839667678486,351.19,21.7,-0.06,169.06,0.01,0.13,,68.3,745.9,701.9,-0.005,0.0907
341139VBOX,8c66034b201a3ff,Empty,5,7.901568658972387,-75.54829443412864,331.1,28.53,-0.14,168.88,-0.05,0.11,,68.3,1383.8,1329.0,0.0,0.0595
341139VBOX,8c66034b201a5ff,Empty,28,7.901699468720314,-75.54857089825873,251.26,22.38,0.19,169.01,-0.04,0.04,,68.3,1071.89,1017.25,-0.0014,0.262
341139VBOX,8c66034b201a5ff,Loaded,4,7.901699468720314,-75.54857089825873,212.43,26.86,0.27,169.01,-0.02,-0.18,,974.3,584.5,506.5,0.01,0.0449
341139VBOX,8c66034b201a7ff,Empty,11,7.901559642454787,-75.54846865558487,20.79,16.78,-0.07,168.12,0.03,0.08,,68.3,546.82,501.0,-0.0018,0.0774
341139VBOX,8c66034b201a7ff,Loaded,21,7.901559642454787,-75.54846865558487,99.86,12.7,-0.09,167.54,0.07,-0.06,,974.3,1413.52,1358.86,0.0,0.1122
341139VBOX,8c66034b201adff,Empty,11,7.901848311266663,-75.54849891940374,186.86,27.08,0.08,168.65,0.0,-0.07,,68.3,523.09,485.82,0.004,0.1244
341139VBOX,8c66034b201adff,Loaded,3,7.901848311266663,-75.54849891940374,187.2,28.72,0.27,169.25,-0.05,-0.19,,974.3,596.33,525.33,0.01,0.0359
341139VBOX,8c66034b201b5ff,Empty,1,7.901428832569261,-75.54819219143502,348.9,30.58,-0.21,170.5,-0.02,0.0,,68.3,1298.0,1251.0,0.0,0.0128
341139VBOX,8c66034b201c1ff,Empty,5,7.90231286897062,-75.5479345418428,335.3,13.04,1.06,160.15,0.0,0.0,,68.3,0.0,0.0,0.04,0.0274
341139VBOX,8c66034b201c1ff,Loaded,18,7.90231286897062,-75.5479345418428,334.73,12.43,0.96,161.01,0.0,0.0,,974.3,803.44,736.94,0.0467,0.0942
341139VBOX,8c66034b201c3ff,Empty,4,7.9021730435861475,-75.54783229942416,334.75,12.86,0.93,158.84,-0.0,-0.0,,68.3,0.0,0.0,0.07,0.0216
341139VBOX,8c66034b201c3ff,Loaded,3,7.9021730435861475,-75.54783229942416,332.5,12.48,0.94,160.04,0.0,0.01,,974.3,846.0,792.33,0.0333,0.0158
341139VBOX,8c66034b201c5ff,Empty,2,7.90230385302462,-75.54810876254435,151.8,29.58,-1.75,163.95,0.0,-0.0,,68.3,1314.0,1287.0,-0.06,0.0247
341139VBOX,8c66034b201c5ff,Loaded,1,7.90230385302462,-75.54810876254435,332.8,12.25,0.98,160.18,0.01,0.02,,974.3,549.0,450.0,0.03,0.0052
341139VBOX,8c66034b201c7ff,Empty,1,7.902164027607086,-75.54800652010806,153.0,30.42,-2.15,163.05,0.03,-0.02,,68.3,1314.0,1287.0,-0.06,0.0127
341139VBOX,8c66034b201c7ff,Loaded,14,7.902164027607086,-75.54800652010806,334.81,12.1,0.94,159.67,-0.0,-0.01,,974.3,747.07,671.79,0.055,0.0714
341139VBOX,8c66034b201cdff,Empty,5,7.902452694184421,-75.54803678422408,330.18,13.56,0.73,161.47,0.01,0.01,,68.3,0.0,0.0,0.04,0.0285
341139VBOX,8c66034b201cdff,Loaded,20,7.902452694184421,-75.54803678422408,331.5,13.18,0.72,161.99,0.01,0.0,,974.3,778.0,708.25,0.03,0.1109
341139VBOX,8c66034b201d5ff,Empty,1,7.9020332180310096,-75.54773005696816,334.9,12.58,0.89,157.03,0.01,-0.01,,68.3,0.0,0.0,0.08,0.0053
341139VBOX,8c66034b201e7ff,Empty,3,7.901997153494938,-75.5484269406447,344.97,28.76,-0.55,168.22,0.07,0.09,,68.3,430.0,379.33,-0.0133,0.036
341139VBOX,8c66034b20203ff,Empty,31,7.903819294474153,-75.54686632658877,345.46,16.53,-0.22,137.52,0.01,-0.02,,68.3,860.81,814.1,-0.0042,0.2149
341139VBOX,8c66034b20203ff,Loaded,32,7.903819294474153,-75.54686632658877,184.51,14.44,0.07,140.17,-0.0,0.02,,974.3,766.88,714.41,0.0003,0.1942
341139VBOX,8c66034b20209ff,Empty,1,7.904107955016832,-75.54689659142187,16.7,12.76,-0.14,143.3,0.06,-0.03,,68.3,1165.0,1078.0,0.01,0.0054
341139VBOX,8c66034b2020bff,Empty,50,7.903968132110288,-75.54679434968081,13.48,15.39,-0.31,137.73,0.0,-0.03,,68.3,821.58,770.82,-0.0004,0.323
341139VBOX,8c66034b2020bff,Loaded,39,7.903968132110288,-75.54679434968081,198.59,15.39,0.12,139.87,-0.0,0.02,,974.3,747.74,697.82,0.011,0.252
341139VBOX,8c66034b20215ff,Empty,594,7.903679471193197,-75.54676408475535,354.33,1.24,0.05,141.7,-0.0,-0.0,,68.3,568.79,473.65,-0.0087,0.3536
341139VBOX,8c66034b20215ff,Loaded,32,7.903679471193197,-75.54676408475535,171.29,15.32,-0.11,140.07,0.01,0.03,,974.3,756.75,708.47,-0.0312,0.2058
341139VBOX,8c66034b20217ff,Empty,14,7.903539647741552,-75.54666184288459,334.61,16.88,1.06,138.79,0.01,-0.04,,68.3,752.0,717.43,0.0107,0.0991
341139VBOX,8c66034b20217ff,Loaded,15,7.903539647741552,-75.54666184288459,144.41,13.44,-1.15,138.2,-0.01,0.04,,974.3,777.33,735.8,-0.0613,0.0848
341139VBOX,8c66034b2021dff,Empty,130,7.90382830903308,-75.5466921079024,45.98,0.12,-0.0,139.55,0.0,0.0,,68.3,549.0,450.0,-0.01,0.0171
341139VBOX,8c66034b2021dff,Loaded,2,7.90382830903308,-75.5466921079024,190.95,16.42,-0.1,143.78,0.0,0.02,,974.3,424.0,392.0,0.0,0.0138
341139VBOX,8c66034b2023bff,Empty,118,7.9035306330352455,-75.54683606170425,76.18,3.31,0.19,139.78,0.0,-0.01,,68.3,599.82,511.45,-0.0034,0.1715
341139VBOX,8c66034b2023bff,Loaded,29,7.9035306330352455,-75.54683606170425,155.0,13.45,-0.33,140.27,-0.01,0.02,,974.3,762.34,705.31,-0.0217,0.1641
341139VBOX,8c66034b20243ff,Empty,1,7.904256792131146,-75.54682461455486,27.9,17.55,-0.29,142.82,0.02,-0.02,,68.3,1165.0,1078.0,0.01,0.0074
341139VBOX,8c66034b20255ff,Empty,43,7.904116969428348,-75.5467223728688,32.93,16.45,-0.27,136.37,-0.01,-0.03,,68.3,755.53,714.28,-0.0084,0.2967
341139VBOX,8c66034b20255ff,Loaded,39,7.904116969428348,-75.5467223728688,207.97,15.25,-0.09,139.62,0.01,0.01,,974.3,747.85,696.64,0.0085,0.2496
341139VBOX,8c66034b20259ff,Empty,19,7.904274820644244,-75.54647617791923,46.51,7.02,-0.08,137.38,-0.04,0.02,,68.3,975.0,928.63,-0.0074,0.0569
341139VBOX,8c66034b2025dff,Empty,53,7.904265806428331,-75.54665039615274,48.39,13.25,-0.21,136.63,-0.01,-0.01,,68.3,755.7,716.47,-0.0091,0.2954
341139VBOX,8c66034b2025dff,Loaded,45,7.904265806428331,-75.54665039615274,209.67,12.76,-0.11,139.94,0.01,-0.0,,974.3,742.51,693.31,0.0076,0.2416
341139VBOX,8c66034b20285ff,Empty,7,7.902971337389701,-75.54642709377708,343.12,24.57,-0.39,132.22,-0.01,-0.0,,68.3,460.0,450.71,-0.0086,0.0718
341139VBOX,8c66034b20285ff,Loaded,9,7.902971337389701,-75.54642709377708,203.89,19.19,0.53,136.55,0.01,-0.02,,974.3,687.89,616.33,-0.0089,0.0723
341139VBOX,8c66034b20289ff,Empty,6,7.90312919108687,-75.54618089845005,298.17,16.31,0.74,133.84,-0.17,0.02,,68.3,844.0,815.0,0.06,0.0411
341139VBOX,8c66034b20289ff,Loaded,3,7.90312919108687,-75.54618089845005,107.7,20.6,-0.88,137.11,0.05,0.01,,974.3,641.0,615.0,-0.04,0.0259
341139VBOX,8c66034b2028bff,Loaded,3,7.902989366985623,-75.54607865644752,129.07,25.34,-1.02,136.28,0.02,-0.11,,974.3,641.0,615.0,-0.04,0.0318
341139VBOX,8c66034b2028dff,Empty,3,7.903120176362608,-75.54635511704818,194.17,18.4,0.24,133.68,0.01,-0.07,,68.3,0.0,0.0,-0.04,0.0231
341139VBOX,8c66034b2028dff,Loaded,10,7.903120176362608,-75.54635511704818,171.94,18.17,-0.09,136.65,0.02,-0.04,,974.3,682.4,625.4,-0.041,0.0761
341139VBOX,8c66034b20291ff,Empty,3,7.902709718271144,-75.54587417233041,350.2,31.84,1.14,131.26,0.0,0.01,,68.3,844.0,815.0,0.0367,0.0398
341139VBOX,8c66034b20291ff,Loaded,3,7.902709718271144,-75.54587417233041,171.73,25.82,-0.91,134.65,0.0,-0.08,,974.3,641.0,615.0,-0.04,0.0323
341139VBOX,8c66034b20293ff,Empty,4,7.902569893657914,-75.54577193021584,350.72,31.86,1.02,130.57,0.02,0.01,,68.3,945.5,915.0,0.035,0.0532
341139VBOX,8c66034b20293ff,Loaded,1,7.902569893657914,-75.54577193021584,178.6,25.24,-1.28,134.07,-0.02,-0.02,,974.3,641.0,615.0,-0.04,0.0105
341139VBOX,8c66034b20299ff,Empty,4,7.902858557422853,-75.54580219601341,340.83,32.36,1.05,131.6,-0.01,0.1,,68.3,945.5,915.0,0.035,0.054
341139VBOX,8c66034b2029dff,Loaded,3,7.9028495427137075,-75.54597641440765,152.43,25.7,-0.96,135.47,-0.01,-0.09,,974.3,641.0,615.0,-0.04,0.0322
341139VBOX,8c66034b202a1ff,Empty,1,7.902813483064525,-75.54667328967057,203.1,19.89,0.87,135.45,-0.01,0.01,,68.3,0.0,0.0,0.08,0.0083
341139VBOX,8c66034b202a1ff,Loaded,3,7.902813483064525,-75.54667328967057,204.23,18.94,0.88,137.58,-0.0,0.01,,974.3,1080.33,1023.67,0.04,0.0238
341139VBOX,8c66034b202a3ff,Empty,9,7.902673658489667,-75.54657104752275,8.08,28.3,-0.91,135.66,-0.03,0.01,,68.3,751.56,738.11,-0.0078,0.1063
341139VBOX,8c66034b202a3ff,Loaded,11,7.902673658489667,-75.54657104752275,202.71,18.65,1.2,138.34,-0.01,0.01,,974.3,730.73,658.91,0.0727,0.0859
341139VBOX,8c66034b202a7ff,Loaded,1,7.902664643341147,-75.54674526674232,201.4,17.83,1.25,138.86,-0.02,0.01,,974.3,1298.0,1251.0,0.07,0.0075
341139VBOX,8c66034b202a9ff,Empty,3,7.902962322469845,-75.54660131269476,1.8,26.25,-0.55,134.61,-0.02,0.01,,68.3,853.33,839.67,0.01,0.0329
341139VBOX,8c66034b202a9ff,Loaded,3,7.902962322469845,-75.54660131269476,206.77,18.85,0.76,136.37,0.01,-0.01,,974.3,1048.33,984.0,0.0367,0.0237
341139VBOX,8c66034b202abff,Empty,7,7.902822498098718,-75.54649907060195,8.53,27.63,-0.86,132.58,-0.03,0.01,,68.3,638.0,626.71,0.0043,0.0807
341139VBOX,8c66034b202abff,Loaded,12,7.902822498098718,-75.54649907060195,205.57,19.38,0.9,137.34,-0.0,0.01,,974.3,721.5,650.92,0.0317,0.0974
341139VBOX,8c66034b202c1ff,Loaded,2,7.903417853354213,-75.54621116387823,20.45,19.28,-0.29,137.31,0.03,0.08,,974.3,424.0,392.0,-0.07,0.0161
341139VBOX,8c66034b202c5ff,Empty,22,7.90340883877736,-75.54638538234305,223.65,16.41,-0.07,132.63,0.02,-0.05,,68.3,809.05,747.09,0.0036,0.1514
341139VBOX,8c66034b202c5ff,Loaded,14,7.90340883877736,-75.54638538234305,27.01,17.23,-0.1,131.62,0.02,0.02,,974.3,772.43,737.36,-0.0479,0.1011
341139VBOX,8c66034b202c7ff,Empty,18,7.903269015017442,-75.54628314041523,296.09,8.19,0.04,133.93,0.03,0.0,,68.3,979.33,948.33,0.06,0.0626
341139VBOX,8c66034b202c7ff,Loaded,1,7.903269015017442,-75.54628314041523,59.6,16.08,-0.1,138.15,0.03,0.12,,974.3,424.0,392.0,-0.07,0.0067
341139VBOX,8c66034b202cdff,Empty,18,7.903557676910386,-75.54631340575104,199.11,18.98,0.06,133.46,0.0,-0.01,,68.3,813.61,745.28,0.0139,0.1431
341139VBOX,8c66034b202cdff,Loaded,11,7.903557676910386,-75.54631340575104,9.27,22.79,-0.24,131.84,0.04,-0.01,,974.3,796.27,760.45,-0.0309,0.1048
341139VBOX,8c66034b202d5ff,Empty,5,7.903138205729856,-75.54600668002053,307.6,29.53,1.41,132.96,-0.04,0.09,,68.3,884.6,855.0,0.048,0.0616
341139VBOX,8c66034b202d7ff,Empty,4,7.902998381661683,-75.54590443803565,325.15,32.21,0.84,132.1,0.0,0.14,,68.3,945.5,915.0,0.035,0.0537
341139VBOX,8c66034b202e1ff,Empty,3,7.90325098555381,-75.54663157781539,300.54,17.17,1.35,127.94,-0.04,-0.03,,68.3,1142.0,1065.33,0.05,0.0216
341139VBOX,8c66034b202e3ff,Empty,6,7.9031111615570895,-75.54652933581491,23.49,26.16,-0.56,131.67,-0.04,0.09,,68.3,963.33,945.67,0.0367,0.0655
341139VBOX,8c66034b202e3ff,Loaded,5,7.9031111615570895,-75.54652933581491,199.1,17.81,0.18,135.83,0.01,-0.05,,974.3,1017.6,954.4,-0.046,0.0373
341139VBOX,8c66034b202e9ff,Empty,45,7.903399824119244,-75.54655960097647,294.94,15.39,0.68,133.9,-0.02,-0.02,,68.3,680.29,646.09,0.0093,0.2906
341139VBOX,8c66034b202e9ff,Loaded,57,7.903399824119244,-75.54655960097647,126.51,10.51,-1.11,136.67,-0.03,0.0,,974.3,744.84,690.19,-0.0419,0.2529
341139VBOX,8c66034b202ebff,Empty,24,7.903260000326264,-75.54645735903101,289.9,16.8,0.04,132.84,-0.0,0.02,,68.3,696.38,671.96,0.0154,0.169
341139VBOX,8c66034b202ebff,Loaded,63,7.903260000326264,-75.54645735903101,123.64,8.48,-0.28,134.76,0.03,-0.01,,974.3,688.84,641.94,-0.0538,0.2266
341139VBOX,8c66034b202edff,Empty,29,7.903390809379861,-75.5467338197785,319.29,14.52,1.43,135.13,-0.02,-0.04,,68.3,835.52,782.76,0.0224,0.1769
341139VBOX,8c66034b202edff,Loaded,26,7.903390809379861,-75.5467338197785,134.44,11.4,-1.12,138.08,0.01,0.02,,974.3,786.04,731.58,-0.0323,0.125
341139VBOX,8c66034b20321ff,Empty,3,7.903729144415092,-75.54860852272424,317.4,23.1,1.56,165.03,-0.03,0.06,,68.3,0.0,0.0,0.03,0.029
341139VBOX,8c66034b20321ff,Loaded,11,7.903729144415092,-75.54860852272424,319.56,23.96,1.66,165.21,-0.03,0.06,,974.3,730.73,658.91,0.0364,0.1101
341139VBOX,8c66034b20323ff,Empty,3,7.903589320803541,-75.5485062807145,336.03,25.42,1.17,163.72,-0.01,0.07,,68.3,0.0,0.0,0.03,0.0319
341139VBOX,8c66034b20323ff,Loaded,9,7.903589320803541,-75.5485062807145,333.63,26.43,1.03,164.34,-0.01,0.08,,974.3,835.78,768.56,0.0289,0.0993
341139VBOX,8c66034b20325ff,Empty,1,7.903720128962195,-75.54878274326491,119.5,28.26,-1.58,163.02,0.05,-0.13,,68.3,1246.0,1232.0,-0.03,0.0118
341139VBOX,8c66034b20325ff,Loaded,1,7.903720128962195,-75.54878274326491,310.9,21.16,1.61,164.33,-0.03,0.05,,974.3,549.0,450.0,0.03,0.0089
341139VBOX,8c66034b2032dff,Empty,4,7.903868967855939,-75.54871076469661,309.68,16.78,0.85,166.22,-0.08,0.02,,68.3,0.0,0.0,0.04,0.0281
341139VBOX,8c66034b2032dff,Loaded,10,7.903868967855939,-75.54871076469661,309.94,19.55,1.35,166.85,-0.06,0.03,,974.3,821.3,759.3,0.05,0.0818
341139VBOX,8c66034b20335ff,Empty,2,7.903449497021309,-75.5484040386674,346.0,26.16,0.4,163.04,0.0,0.0,,68.3,0.0,0.0,0.03,0.0218
341139VBOX,8c66034b20335ff,Loaded,2,7.903449497021309,-75.5484040386674,345.65,26.7,0.64,163.52,-0.01,0.04,,974.3,620.0,563.0,0.03,0.0223
341139VBOX,8c66034b20641ff,Empty,1,7.902502185065742,-75.54427594605515,236.5,32.27,2.57,116.19,0.0,-0.02,,68.3,1250.0,1215.0,0.07,0.0135
341139VBOX,8c66034b20647ff,Empty,2,7.902353346103251,-75.54434792115042,241.55,31.28,3.1,117.45,-0.02,-0.05,,68.3,1250.0,1215.0,0.07,0.0261
341139VBOX,8c66034b2064bff,Empty,2,7.902511199224038,-75.54410172906289,235.95,32.48,2.72,115.06,-0.02,0.02,,68.3,1250.0,1215.0,0.065,0.0271
341139VBOX,8c66034b20663ff,Empty,2,7.902195492354434,-75.54459411380448,244.9,29.26,2.54,120.54,-0.02,0.03,,68.3,1250.0,1215.0,0.07,0.0244
341139VBOX,8c66034b20667ff,Empty,3,7.90218647780492,-75.54476833143595,241.2,30.92,1.32,121.72,0.03,-0.01,,68.3,1250.0,1215.0,0.07,0.0387
341139VBOX,8c66034b2066bff,Empty,2,7.902344331749349,-75.5445221384623,245.75,30.5,2.64,119.1,-0.02,-0.04,,68.3,1250.0,1215.0,0.07,0.0254
