refe,h3_cell,loading_status,n_points,centroid_lat,centroid_lng,avg_heading,avg_speed,avg_vertical_speed,avg_height,avg_longitudinal_a,avg_lateral_a,avg_ratius_ot,avg_vehicle_w,avg_tkph_f,avg_tkph_r,avg_slope_percent,transparency
341139VBOX,8c661c94d5425ff,Loaded,2,7.916727832267905,-75.57221790014887,11.95,24.9,0.2,82.59,0.02,0.02,,974.3,858.5,814.0,0.02,0.0208
341139VBOX,8c661c94d5465ff,Loaded,2,7.917165296240019,-75.57217614866683,18.95,29.36,-0.07,82.45,0.02,0.02,,974.3,858.5,814.0,-0.015,0.0245
341139VBOX,8c661c94d5511ff,Empty,4,7.916569985549534,-75.57246413134939,194.38,35.7,-0.45,81.19,0.03,0.0,,68.3,733.5,649.5,-0.015,0.0595
341139VBOX,8c661c94d5513ff,Empty,7,7.916430175878683,-75.5723618915722,194.3,35.99,-0.42,80.51,0.03,0.01,,68.3,905.86,826.57,-0.0014,0.105
341139VBOX,8c661c94d5513ff,Loaded,9,7.916430175878683,-75.5723618915722,13.17,22.73,0.79,79.22,-0.0,0.01,,974.3,1088.33,1022.33,0.0167,0.0855
341139VBOX,8c661c94d5519ff,Empty,8,7.916718813699289,-75.57239213553491,193.77,33.01,-0.06,81.63,-0.02,-0.03,,68.3,861.25,779.5,-0.0112,0.1101
341139VBOX,8c661c94d5519ff,Loaded,4,7.916718813699289,-75.57239213553491,11.85,25.74,0.26,78.08,0.03,0.02,,974.3,1203.25,1126.5,0.015,0.043
341139VBOX,8c661c94d551bff,Empty,5,7.916579004232341,-75.57228989581259,195.5,33.99,0.07,79.87,0.0,-0.01,,68.3,872.6,793.4,-0.014,0.0708
341139VBOX,8c661c94d551bff,Loaded,7,7.916579004232341,-75.57228989581259,13.67,23.54,0.37,79.75,0.02,-0.0,,974.3,974.0,913.29,0.0186,0.0689
341139VBOX,8c661c94d5551ff,Empty,1,7.917007450622949,-75.57242237944624,184.4,35.22,-0.04,85.85,-0.04,-0.02,,68.3,549.0,450.0,-0.01,0.0147
341139VBOX,8c661c94d5553ff,Empty,9,7.916867641530957,-75.57232013981631,187.06,34.48,-0.05,80.68,-0.02,-0.04,,68.3,810.78,729.44,-0.01,0.1294
341139VBOX,8c661c94d5553ff,Loaded,6,7.916867641530957,-75.57232013981631,9.78,26.9,-0.04,79.52,0.02,0.02,,974.3,1088.33,1022.33,0.0167,0.0674
341139VBOX,8c661c94d5559ff,Empty,5,7.917156277932634,-75.57235038376866,181.63,36.23,0.15,83.33,-0.03,-0.02,,68.3,672.8,595.6,-0.002,0.0755
341139VBOX,8c661c94d5559ff,Loaded,2,7.917156277932634,-75.57235038376866,342.35,31.22,-0.18,73.54,0.02,0.02,,974.3,1548.0,1439.0,-0.01,0.026
